sku,brand,model_name,target_segment,cpu_model,cinebench_r23_score,gpu_model,threedmark_score,is_gpu_integrated,ram_gb,ram_generation,storage_gb,storage_type,display_size_inches,weight_kg,min_discount_price_inr,avg_normal_price_inr,max_mrp_price_inr,max_discount_percentage,current_price_inr,rating
SKU-ASUS-0001,ASUS,Vivobook 15 (2025),Student,Intel 1315U,7100,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,30791,34990,41288,25.4,34990,4.3
SKU-ASUS-0002,ASUS,Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,Student,AMD Ryzen 7 7320U,5800,AMD Radeon Graphics,1500,True,8,LPDDR5,512,SSD,15.6,1.4,32551,36990,43648,25.4,36990,4.3
SKU-ACER-0003,ACER,Aspire 3 Intel Celeron Dual Core,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,17591,19990,23588,25.4,19990,3.8
SKU-ZEBRONICS-0005,ZEBRONICS,Pro Series Z Intel Core i7 12th Gen 1255U,Professional,Intel 1255U,9200,Intel Iris Xe Graphics,1600,True,16,DDR4,1024,SSD,16.0,1.7,50687,57599,67967,25.4,57599,4.0
SKU-HP-0006,HP,15 Intel Core 3 100U,Student,Intel 100U,7400,Intel Iris Xe Graphics,1600,True,8,DDR4,512,SSD,15.6,1.4,32551,36990,43648,25.4,36990,4.2
SKU-LENOVO-0007,LENOVO,IdeaPad 5 2,Professional,AMD Ryzen 5 8645HS,13800,AMD Radeon Graphics,1500,True,16,LPDDR5X,512,SSD,16.0,1.7,50151,56990,67248,25.4,56990,4.1
SKU-LENOVO-0008,LENOVO,LOQ 2025 Intel Core i7 14th Gen 14700HX,Gamer,Intel 14700HX,28500,NVIDIA Dedicated Graphics,5000,False,16,DDR5,1024,SSD,14.0,2.2,118791,134990,159288,25.4,134990,4.3
SKU-APPLE-0009,APPLE,MacBook Air M3,Creator,Apple M3,11800,Apple M3 10-core GPU,4800,True,16,DDR4,1024,SSD,13.0,1.7,101112,114900,135582,25.4,114900,4.0
SKU-ACER-0010,ACER,Aspire 3 Intel Celeron Dual Core,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,8,DDR4,128,SSD,15.6,1.4,14071,15990,18868,25.4,15990,3.8
SKU-DELL-0011,DELL,Inspiron 15,Professional,Intel 1355U,9800,Intel Iris Xe Graphics,1600,True,16,DDR4,512,SSD,15.6,1.7,58951,66990,79048,25.4,66990,4.2
SKU-ACER-0013,ACER,Aspire 3 Intel Celeron Dual Core N4500,Student,Celeron,1800,Intel Iris Xe Graphics,1600,True,8,LPDDR4X,256,SSD,15.6,1.4,18911,21490,25358,25.4,21490,3.9
